Hier sind meine Daten
rownamesWUFFweightWUFFgroup
1WUFF4,17WUFFctrl
2WUFF5,58WUFFctrl
3WUFF5,18WUFFctrl
4WUFF6,11WUFFctrl
5WUFF4,5WUFFctrl
6WUFF4,61WUFFctrl
7WUFF5,17WUFFctrl
8WUFF4,53WUFFctrl
9WUFF5,33WUFFctrl
10WUFF5,14WUFFctrl
11WUFF4,81WUFFtrt1
12WUFF4,17WUFFtrt1
13WUFF4,41WUFFtrt1
14WUFF3,59WUFFtrt1
15WUFF5,87WUFFtrt1
16WUFF3,83WUFFtrt1
17WUFF6,03WUFFtrt1
18WUFF4,89WUFFtrt1
19WUFF4,32WUFFtrt1
20WUFF4,69WUFFtrt1
21WUFF6,31WUFFtrt2
22WUFF5,12WUFFtrt2
23WUFF5,54WUFFtrt2
24WUFF5,5WUFFtrt2
25WUFF5,37WUFFtrt2
26WUFF5,29WUFFtrt2
27WUFF4,92WUFFtrt2
28WUFF6,15WUFFtrt2
29WUFF5,8WUFFtrt2
30WUFF5,26WUFFtrt2
